entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
1571164245,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-15846,29454-23665,29454-14522,29454-9849,29454-14511,29454-9451,29454-58462,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1571164255,29454-221506624,$10K Fri NBA EPE Shot,29454-9524,29454-14507,29454-15846,29454-23665,29454-14522,29454-9849,29454-9451,29454-9598,29454-58462,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1571164259,29454-221506624,$10K Fri NBA EPE Shot,29454-9524,29454-9535,29454-15846,29454-23665,29454-14522,29454-9849,29454-9451,29454-9598,29454-58462,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1571164262,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-9663,29454-15846,29454-14522,29454-9849,29454-9451,29454-9598,29454-58462,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
1571164266,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-23798,29454-23665,29454-14522,29454-9849,29454-14511,29454-9451,29454-58462,,,,,,,,,,,,,,,,
1571164273,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-15846,29454-23665,29454-14522,29454-9648,29454-14511,29454-9451,29454-58462,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
1571164278,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-16261,29454-15846,29454-9508,29454-9849,29454-14511,29454-9451,29454-58462,,29454-15755:Anthony Davis,29454-15755,PF,Anthony,Anthony Davis,Davis,68.26666768,3,13000,BKN@NO,NO,BKN,,,
1571164281,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-15846,29454-23665,29454-14522,29454-9849,29454-42148,29454-9451,29454-58462,,29454-40199:Giannis Antetokounmpo,29454-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,61.17499924,4,12300,MIL@MIN,MIL,MIN,,,
1571164283,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-15846,29454-23665,29454-14522,29454-9849,29454-14511,29454-9598,29454-58462,,29454-9644:James Harden,29454-9644,SG,James,James Harden,Harden,52,4,11600,LAC@HOU,HOU,LAC,O,Hamstring,
1571164287,29454-221506624,$10K Fri NBA EPE Shot,29454-14507,29454-9535,29454-15846,29454-23665,29454-14522,29454-9849,29454-14511,29454-9451,29454-55059,,29454-9524:Stephen Curry,29454-9524,PG,Stephen,Stephen Curry,Curry,51.35999756,5,9900,GS@NY,GS,NY,,,
